,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
0,09-Oct-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Kelp Beds Beach (Kelpies),Surfing,M,Fatal,Y,10h45,
1,07-Oct-2020,2020.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Body Surfing,M,Survived,N,Afternoon,Blacktip shark
2,04-Oct-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing,M,No Injury,N,10h45,Bronze whaler 1.5m
3,21-Sep-2020,2020.0,,USA,Hawaii,"Charley Young Beach, Maui",Swimming,F,Survived,N,11h00,Injures not caused by a shark
4,20-Sep-2020,2020.0,Unprovoked,USA,Florida,"Sombero Key Light, Monroe County",Snorkeling,M,Survived,N,10h30,Bull shark
5,17-Sep-2020,2020.0,Provoked,AUSTRALIA,Queensland,Fraser Island,Fishing,M,Survived,N,16h00,"""whitetip shark"""
6,16-Sep-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Cabarita Beach,Foil-boarding,M,No Injury,N,Afternoon,White shark
7,16-Sep-2020,2020.0,,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,Survived,N,15h20,Shark involvement not confirmed
8,15-Sep-2020,2020.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Survived,N,10h45,
9,15-Sep-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Survived,N,08h15,
10,08-Sep-2020,2020.0,,USA,Florida,Canaveral National Seashore,Surf fishing,M,Survived,N,,4' tp 5' shark
11,07-Sep-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,"Greenmount Beach, Coolangatta",Surfing,M,Fatal,Y,17h00,"White shark, 3m"
12,06-Sep-2020,2020.0,Unprovoked,USA,Hawaii,Puako,Snorkeling,F,Survived,N,16h30,8' shark
13,02-Sep-2020,2020.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",,M,Survived,N,,"Nurse shark, juvenile"
14,30-Aug-2020,2020.0,Watercraft,AUSTRALIA,New South Wales,Forster,Fishing / Filming sharks feeding on whale carcass,F,Survived,N,Afternoon,White shark
15,30-Aug-2020,2020.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,Survived,N,11h30,
16,28-Aug-2020,2020.0,Unprovoked,USA,California,"Shelter Cove, Humboldt County",Kayak fishing,M,No Injury,N,Afternoon,White shark
17,23-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,Survived,N,15h00,
18,22-Aug-2020,2020.0,Unprovoked,USA,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,M,Survived,N,Morning,4' to 5' shark
19,20-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,Survived,N,11h00,
20,19-Aug-2020,2020.0,,USA,South Carolina,"Myrtle Beach, Horry County",Wading,F,Survived,N,1415,
21,14-Aug-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Port Macquarie",Surfing,F,Survived,N,09h30,"White shark, 2-to 3m"
22,10-Aug-2020,2020.0,Provoked,USA,Florida,"Off Gasparilla Island, Charlotte County",Fishing,M,Survived,N,16h00,"Blacktip shark, 6'"
23,02-Aug-2020,2020.0,Unprovoked,USA,Virgin Islands,"Candle Reef, St. Croix",Snorkeling,F,Survived,N,14h00,"Nurse shark, 5'"
24,31-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Survived,N,17h00,
25,31-Jul-2020,2020.0,Unprovoked,USA,Alabama,"Orange Beach, Baldwin County",Swimming,M,Survived,N,13h00,Blacktip or Spinner shark
26,31-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Bunker Bay Beach,Surfing,M,Survived,N,14h15,"White shark, 4m"
27,29-Jul-2020,2020.0,Unprovoked,USA,Florida,Florida Keys,Diving,M,Survived,N,,"Lemon shark, 8'"
29,27-Jul-2020,2020.0,Unprovoked,FRENCH POLYNESIA,Tuamotu Islands,Tikehau,Swimming,M,Survived,N,Evening,"Blacktip reef shark, juvenile"
30,27-Jul-2020,2020.0,Unprovoked,USA,Maine,"Bailey Island, Cumberland County",Swimming,F,Fatal,Y,15h59,"White shark, 11'?"
31,23-Jul-2020,2020.0,Unprovoked,USA,Bahamas,Spanish Cay,Spearfishing,M,Survived,N,12h00,"Reef shark, 5' to 6 '"
32,23-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,Survived,N,,
33,22-Jul-2020,2020.0,Unprovoked,USA,North Carolina,"Neuse River, Craven County",Treading water,M,Survived,N,17h30,Bull shark. 6.5'
34,19-Jul-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,Survived,N,Afternoon,
35,17-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Tasmania,Off Stanley,Fishing,M,Survived,N,13h30,White shark
36,14-Jul-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Wading,F,Survived,N,,"Bull shark, 4' to 6'"
37,13-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Fitzroy Island,Snorkeling,F,Survived,N,11h45,2 m shark
38,11-Jul-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Wilsons Headland,Surfing,M,Fatal,Y,14h30,"White shark, 2.5 m"
39,04-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Fraser Island,Spearfishing,M,Fatal,Y,14h00,
40,22-Jun-2020,2020.0,Unprovoked,USA,Florida,"Homestead, Miami-Dade County",Playing,M,Survived,N,,Juvenile bull shark?
41,20-Jun-2020,2020.0,Unprovoked,USA,North Carolina,"Salvo, Dare County",Body Surfing,M,Survived,N,16h00,
42,20-Jun-2020,2020.0,Unprovoked,BAHAMAS,Exumas,"Pig Beach, Pig Island",,M,Survived,N,,
43,10-Jun-2020,2020.0,Unprovoked,NEW CALEDONIA,South Province,"Plateau de Ricaudy, Nouméa",Windsurfing,M,Fatal,Y,Afternoon,Tiger shark
44,07-Jun-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Salt Beach near Kingscliff,Surfing,M,Fatal,Y,10h40,"White shark, 3.5 m"
46,04-Jun-2020,2020.0,,USA,Delaware,"Herring Point, Sussex County",Skimboarding,M,Survived,N,13h00,Shark involvement unconfirmed but considered probable
47,01-Jun-2020,2020.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kauai",Surfing,M,Survived,N,08h30,Tiger shark?
48,31-May-2020,2020.0,Unprovoked,BAHAMAS,Abaco Islands,NoName Cay,Spearfishing,M,Survived,N,,"Bull shark, 8'"
49,30-May-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Lucinda,Spearfishing,M,No Injury,N,,Bull shark
50,28-May-2020,2020.0,Unprovoked,THAILAND,"Muang district of Satun province, ",Chebilang pier ,Playing,M,Survived,N,,Bull shark
51,26 May 2020,2020.0,Unprovoked,SPAIN,Canary Islands,"Famara Beach, Lanzarote",Playing,M,Survived,N,,Angel shark
52,17 May 2020,2020.0,Unprovoked,FRENCH POLYNESIA,Tahiti,Vallée Blanche,Snorkeling,M,Survived,N,,Blacktip shark
53,09-May-2020,2020.0,Unprovoked,USA,California,"Sand Dollar Beach, Santa Cruz County",Surfing,M,Fatal,Y,13h30,White shark
54,08-May-2020,2020.0,Unprovoked,AUSTRALIA,Victoria,"Southside Beach, near Geelong",Surfing,M,Survived,N,16h00,
55,01-May-2020,2020.0,Unprovoked,USA,California,"Summerland, Santa Barbara County",Swimming,F,Survived,N,14h30,5' to 6' shark
56,29-Apr-2020,2020.0,,USA,California,"Moonlight Beach, San Diego County",Body Boarding,M,Survived,N,17h45,
57,21-Apr-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Killick Creek near Crescent Head,Swimming,F,Survived,N,08h00,
58,07-Apr-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,F,Survived,N,10h00,"Bull shark, 6'"
59,06-Apr-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,M,Fatal,Y,17h30,
60,06-Apr-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Wamberal Beach,Surfing,M,Survived,N,10h00,6' shark
61,27-Mar-2020,2020.0,Unprovoked,USA,California,"Pleasure Point, Santa Cruz County",Stand-Up Paddleboarding,M,No Injury,N,Evening,
62,22-Mar-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,12h20,
63,22-Mar-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,10h50,
64,21-Mar-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Cairns,,F,Survived,N,Midday,
65,Reported 14-Mar-2020,2020.0,Provoked,NEW ZEALAND,North Island,"Stanmore Bay, Auckland",Kayak fishing,M,Survived,N,,"White shark, 2.5 to 3 m"
66,02-Mar-2020,2020.0,Unprovoked,FIJI,Vanua Levu,"Tawake, Cakaudrove",Spearfishing,M,Survived,N,Early Morning,
67,22-Feb-2020,2020.0,Unprovoked,NEW ZEALAND,North Island,Pauanui Beach,Surfing,M,Survived,N,11h30,White shark
68,05-Feb-2020,2020.0,Unprovoked,USA,Maui,,Stand-Up Paddle boarding,M,No Injury,N,09h40,Tiger shark
69,01-Feb-2010,2020.0,Unprovoked,MARQUESAS,Ua Huka,,Canoeing,M,No Injury,N,06h30,
70,Reported 30-Jan-2020,2020.0,Provoked,BAHAMAS,Exumas,,Floating ,F,Survived,N,,
71,17-Jan-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Windang Beach,Surfing,M,Survived,N,08h00,"""A small shark"""
72,16-Jan-2020,2020.0,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Surfing,F,Survived,N,20h30,Broadnose seven gill shark?
73,13-Jan-2020,2020.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,M,Survived,N,14h33,
74,12-Jan-2020,2020.0,Unprovoked,THAILAND,Phang Nga Province,Nang Thong Beach,Swimming,M,Survived,N,07h15,
75,07-Jan-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,F,Survived,N,17h30,Lemon shark
76,05-Jan-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Cull Island / Esperance,Scuba diving,M,Fatal,Y,13h00,White shark
77,03-Jan-2020,2020.0,Unprovoked,NEW CALEDONIA,,Calana,,M,Survived,N,Afternoon,
78,02-Jan-2020,2020.0,Questionable,AUSTRALIA,Western Australia,Esperance,Swimming after being swept off rocks,M,Survived,Y,16h10,
79,30-Dec-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,M,Survived,N,12h58,"Shovelnose ""shark"" which is a ray, not a shark)"
80,28-Dec-2019,2019.0,Unprovoked,SEYCHELLES,Praslin,Amitié Beach,Swimming,F,Survived,N,19h00,
81,26-Dec-2019,2019.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Ragelapara reef ,Spearfishing,M,Fatal,Y,16h30,
82,26-Dec-2019,2019.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surf skiing ,M,No Injury,N,07h00,
83,24-Dec-2019,2019.0,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Boogie boarding,F,Survived,N,"""Evening""",
84,21-Dec-2019,2019.0,Unprovoked,USA,California,"Santa Rosa Island, Ventura County",Surfing,M,Survived,N,16h15,
87,06-Dec-2019,2019.0,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Free diving,M,Survived,N,09h00,
88,03-Dec-2019,2019.0,Unprovoked,USA,Hawaii,"Cove Park, Kihei, Maui",Stand-Up Paddleboarding,M,No Injury,N,10h00,10'-12' tiger shark
89,30-Nov-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,No Injury,N,,Juvenile blacktip shark
90,30-Nov-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Bargara,Snorkeling,M,Survived,N,18h00,
92,23-Nov-2019,2019.0,Provoked,MEXICO,Guerrero,Off Barra Vieja,Fishing,M,Survived,N,15h00,
93,22-Nov-2019,2019.0,Unprovoked,ISRAEL,,Haifa,Snorkeling,M,No Injury,N,,
94,14-Nov-2019,2019.0,Provoked,FRENCH POLYNESIA,Moorea,Afareitu Lagoonarium.,Feeding sharks,M,Survived,N,,5' blacktip shark
95,12-Nov-2019,2019.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,Survived,N,,4' to 5' blacktip shark
96,11-Nov-2019,2019.0,Unprovoked,MEXICO,Baja ,Magdalena Bay,Snorkeling,M,Survived,N,,
97,09-Nov-2019,2019.0,Watercraft,SOUTH AFRICA,Eastern Cape Province,East London,Kayaking fishing,M,No Injury,N,06h50,"White shark, 4 m"
98,06-Nov-2019,2019.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,F,Survived,N,08h00,Juvenile white shark?
99,02-Nov-2019,2019.0,Questionable,REUNION ISLAND,Saint-Gilles,L’Hermitage Lagoon,Snorkeling,M,Survived,Y,,10' tiger shark
100,29-Oct-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,"Off Airlie Beach, Whitsundays",Snorkeling,M,Survived,N,10h20,Tiger shark
101,27-Oct-2019,2019.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,12h45,4' to 5' shark
103,17-Oct-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island,",Surfing,M,No Injury,N,17h30,7' shark
104,08-Oct-2019,2019.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Surfing,M,Survived,N,12h00,
105,05-Oct-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,No Injury,N,16h00,"White shark, 3.5 m"
106,05-Oct-2019,2019.0,Watercraft,USA,California,"Ship Rock near Catalina, Los Angeles County",Kayaking,M,No Injury,N,16h30,White shark
107,Reported 04-Oct-2019,2019.0,Unprovoked,USA,Guam,Talofofo Bay ,Surfing,M,Survived,N,,Juvenile shark
108,28-Sep-2019,2019.0,Provoked,AUSTRALIA,Northern Territory ,"Nightcliff Jetty, Darwin",Fishing,M,Survived,N,Afternoon,1+ m shark
109,26-Sep-2019,2019.0,Unprovoked,USA,Hawaii,"Kihei, South Maui",Surfing,F,No Injury,N,09h15,6' to 7' shark
110,24-Sep-2019,2019.0,Unprovoked,USA,Florida,"Huguenot Park, Jacksonville, Duval County",Swimming,M,Survived,N,17h00,
111,24-Sep-2019,2019.0,Unprovoked,USA,Florida,"Satellite Beach, Brevard County",Surfing,M,Survived,N,16h30,2' shark
112,18-Sep-2019,2019.0,Unprovoked,USA,Hawaii,"Haleiwa, Oahu",Snorkeling,F,Survived,N,10h40,"Galapagos shark, 5'-9'"
113,15-Sep-2019,2019.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",,F,Survived,N,,
114,07-Sep-2019,2019.0,Unprovoked,AUSTRALIA,Western Australia,"Burns Beach, Perth",Spearfishing,M,No Injury,N,09h00,14' white shark
115,31-Aug-2019,2019.0,Unprovoked,USA,Cayman Islands,Grand Cayman,Spearfishing,M,Survived,N,,Nurse shark
116,31-Aug-2019,2019.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,M,Survived,N,Afternoon,
117,27-Aug-2019,2019.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,11h55,6.5' shark
118,21-Aug-2019,2019.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Wading,M,Survived,N,09h00,
119,20-Aug-2019,2019.0,Unprovoked,USA,Hawaii,"Napoopoo Park in Kealakekua Bay, The Big Island",Swimming/ Treading water,F,Survived,N,08h00,
120,16-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Survived,N,11h00,
121,11-Aug-2019,2019.0,Unprovoked,USA,Hawaii,"Makaha Beach, Oahu",Surfing,M,No Injury,N,19h30,10' to 12' shark
122,04-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,Survived,N,15h00,
123,03-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Survived,N,16h00,
124,03-Aug-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,15h30,
125,03-Aug-2019,2019.0,Unprovoked,USA,Florida,Off Key Biscayne,Spearfishing / Diving,M,Survived,N,,
126,29-Jul-2019,2019.0,Unprovoked,USA,Hawaii,Molokai Channel/,Swimming,M,Survived,N,22h20,Cookiecutter shark
127,30-Jul-2019,2019.0,Provoked,USA,North Carolina,"Off Cape Hatteras, Dare County",Fishing ,M,Survived,N,,"Blacktip shark, 5' "
128,29-Jul-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,13h30,
130,27-Jul-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,Survived,N,16h30,
131,27-Jul-2019,2019.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,Survived,N,,Blacktip or Spinner shark
133,22-Jul-2019,2019.0,Unprovoked,USA,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",Surfing,M,Survived,N,18h30,Sandtiger shark
134,Reported 17-Jul-2019,2019.0,Unprovoked,NEW ZEALAND,Chatham Islands,Pitt Island or Chatham Island,Scuba diving,M,Survived,N,Morning,"White shark, 3m"
135,16-Jul-2019,2019.0,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Body-surfing,F,Survived,N,16h30,shark pup
136,12-Jul-2019,2019.0,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boogie boarding,F,Survived,N,07h30,
137,10-Jul-2019,2019.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,Survived,N,10h30,"White shark, juvenile"
138,09-Jul-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,"Pelican Waters, Caloundra",Paddle boarding,M,Survived,N,08h00,Bull shark pup
139,06-Jul-2019,2019.0,Provoked,MEXICO,Quinta Roo,Cabo Catoche ,Fishing,M,Survived,N,,
140,04-Jul-2019,2019.0,Unprovoked,BAHAMAS,Abaco Islands,Great Guana Cay,Snorkeling,M,Survived,N,17h30,
141,30-Jun-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,16h30,
142,26-Jun-2019,2019.0,Unprovoked,BAHAMAS,Lucayan Archipelago,Rose Island,Snorkeling,F,Fatal,Y,14h00,
143,21-Jun-2019,2019.0,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,Survived,N,,
145,16-Jun-2019,2019.0,Unprovoked,USA,North Carolina,"Bald Head Island, Brunswick County",Swimming,M,Survived,N,16h00,
146,16-Jun-2019,2019.0,Unprovoked,USA,Georgia,"Wilmington River, Chatham County",Swimming,M,Survived,N,09h00,"Bull shark, 4' to 5'"
147,10-Jun-2019,2019.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Surfing,M,Survived,N,14h00,
148,Reported 06-Jun-2019,2019.0,Unprovoked,AUSTRALIA,Tasmania,Maatsuyker Island ,Abalone diving,M,Survived,N,,
149,05-Jun-2019,2019.0,Unverified,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,Survived,N,13h00,
150,02-Jun-2019,2019.0,Unprovoked,USA,North Carolina,"Fort Macon State Beach, Carteret County",Standing,F,Survived,N,12h20,
151,29-May-2019,2019.0,Unprovoked,NEW CALEDONIA,Bélep Islands,Cook Reef,Fishing,M,Fatal,Y,,
152,25-May-2019,2019.0,Unprovoked,USA,Hawaii,"Honokowai Point, Maui",Swimming,M,Fatal,Y,08h48,
153,25-May-2019,2019.0,Unprovoked,NEW CALEDONIA,Noumea,Port South Marina,Swimming,M,Survived,N,16h00,"Bull shark, 3.5 m"
154,20-May-2019,2019.0,Unprovoked,USA,New Jersey,"Ship Bottom, Ocean County",Body Boarding,M,No Injury,N,,Shark involvement unconfirmed but considered probable
155,17-May-2019,2019.0,Unprovoked,FIJI,,Beqa,Scuba diving,M,Survived,N,,"Tiger shark, 4m to 5m"
156,14-May-2019,2019.0,Unprovoked,USA,Hawaii,"Browns, Oahu",Surfing,M,No Injury,N,08h30,8' shark
157,14-May-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Yandaran Beach,Body Surfing,M,Survived,N,16h21,
158,09-May-2018,2019.0,Unprovoked,REUNION ISLAND,, Saint Leu,Surfing,M,Fatal,Y,16h26,
159,08-May-2019,2019.0,Unprovoked,USA,Hawaii,O'ahu,Swimming with sharks,F,Survived,N,09h00,
160,07-May-2019,2019.0,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,F,No Injury,N,,White shark
161,04-May-2019,2019.0,Provoked,BRAZIL,Fernando de Noronha,Praia de Porto,Fishing,M,Survived,N,,Lemon shark pup
162,01-May-2019,2019.0,Unprovoked,USA,Florida,"Off Boca Grande, Lee County",Fishing,M,Survived,N,18h45,
163,Reported 27-Apr-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Tomaree,Spearfishing,M,Survived,N,14h00,"Grey nurse shark, 3 m female"
164,23-Apr-2019,2019.0,Unprovoked,USA,Hawaii,"Anaehoomalu Bay, Hawaii",Kayaking,F,Survived,N,08h30,Tiger shark
165,21-Apr-2019,2019.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,M,Survived,N,17h30,
166,12-Apr-2019,2019.0,Questionable,USA,Florida,"Crescent Beach, St Johns County",Boogie boarding,F,Survived,N,17h45,
167,06-Apr-2019,2019.0,Questionable,USA,Hawaii,"North Koahala, Big Island",Picking opihi,M,Survived,N,Night,Tiger shark
168,06-Apr-2019,2019.0,Unprovoked,USA,Hawaii,Kaiwi Channel,Swimming,M,Survived,N,01h00,Cookiecutter shark
169,05-Apr-2019,2019.0,Provoked,CHINA,Liaoning Province,"Laohutan Ocean Park Aquarium, Dalian City",Diving in shark tank,F,Survived,N,,Sand tiger shark
170,26-Mar-2019,2019.0,Watercraft,USA,Hawaii,Waikoloa area,Paddling an outrigger canoe,M,Survived,N,10h00,12' shark
171,25-Mar-2019,2019.0,Unprovoked,AUSTRALIA,Queensland,Line Reef,Swimming,M,Survived,N,12h30,"Grey reef shark, 4' "
172,22-Mar-2019,2019.0,Unprovoked,USA,Florida,"Hobe Sound, Martin County",Surfing,M,Survived,N,16h00,4' shark
173,21-Mar-2019,2019.0,Unprovoked,MEXICO,Guerrero,Troncones,Swimming,M,Survived,N,17h30,
174,16-Mar-2019,2019.0,Unprovoked,USA,Hawaii,Kaiwi Channel,Swimming,M,Survived,N,03h00,Cookiecutter shark
175,12-Mar-2019,2019.0,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Boogie boarding,M,Survived,N,14h00,Spinner shark
176,05-Mar-2019,2019.0,Unprovoked,USA,Oregon,"Cape Kiwanda, Tillamook County",Surfing,M,No Injury,N,08h30,
177,05-Mar-2019,2019.0,Provoked,SOUTH AFRICA,Eastern Cape Province,30 nm off Port Elizabeth,Fishing,M,Survived,N,16h00,2.5 m shark
178,17-Feb-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Belongil Bay,Surfing,M,Survived,N,06h40,
179,14-Feb-2019,2019.0,Unprovoked,BRAZIL,Fernando de Noronha,Cacimba do Padre,Surfing,M,Survived,N,17h30,Lemon shark
180,10-Feb-2019,2019.0,Unprovoked,AUSTRALIA,Northern Territory ,Groote Eylandt,Spearfishing,M,Survived,N,,"Reef shark, "
181,04-Feb-2019,2019.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,Survived,N,13h40,Tiger shark
182,04-Feb-2019,2019.0,Unprovoked,AUSTRALIA,New South Wales,Urunga area,Surfing,M,No Injury,N,06h15,
183,02-Feb-2019,2019.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Fishing,M,Survived,N,,
184,02-Feb-2019,2019.0,Unprovoked,USA,Florida,Key Biscayne,Spearfishing,M,Survived,N,10h00,Bull shark
185,30-Jan-2019,2019.0,Unprovoked,REUNION ISLAND,,Sainte-Rose at the mouth of Riviere de l'Est,Fishing,M,Fatal,Y,09h15,
186,29-Jan-2019,2019.0,Invalid,NEW ZEALAND,South Island,Oreti Beach,Boogie boarding,F,Survived,N,Evening,Reported as shark bite but injury caused by stingray
187,14-Jan-2019,2019.0,Unprovoked,AUSTRALIA,Western Australia,North Cottesloe ,Swimming,F,Survived,N,11h30,Wobbegong shark
188,10-Jan-2019,2019.0,Invalid,AUSTRALIA,Queensland,"Catseye Beach, Hamilton Island, Whitsundays",Wading,F,Survived,N,09h30,Reported as shark attacks but injuries caused by toadfish
189,8-Jan-2019,2019.0,Unprovoked,USA,California,"Sandspit Beach, Montaña de Oro State Park ",Surfing,M,Survived,N,10h00,"White shark, 4.6m"
190,18-Dec-2018,2018.0,Unprovoked,MEXICO,Sonora,Southeast of Puerto Peñasco ,Diving,M,Fatal,Y,11h00,Tiger shark
191,15-Dec-2018,2018.0,Provoked,AUSTRALIA,New South Wales,,,M,Survived,N,11h00,Wobbegong shark
192,15-Dec-2018,2018.0,Unprovoked,NEW ZEALAND,North Island,Matauri Bay,Spearfishing,M,Survived,N,11h20,"Mako shark, 7'"
193,09-Dec-2018,2018.0,Unprovoked,NEW ZEALAND,North Island,Ti Point,Spearfishing,M,No Injury,N,08h00,Bronze whaler 2.5m
194,09-Dec-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales ,Nambucca,Surfing,M,Survived,N,07h15,
195,28-Nov-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,South Steyne,Surfing,M,Survived,N,18h30,Wobbegong shark
196,24-Nov-2018,2018.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,Survived,N,17h00,
197,18-Nov-2018,2018.0,Unprovoked,AUSTRALIA,Northern Territory ,Off Nhulunbuy,Spearfishing,M,Survived,N,Before 10h00,Reef shark x 2
198,17-Nov-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"7 Mile Beach, Gerroa",Surfing,M,Survived,N,13h00,
199,14-Nov-2018,2018.0,Watercraft,AUSTRALIA,Queensland,Moffat Beach,Kayaking,M,No Injury,N,06h50,"Tiger shark, 13'"
200,11-Nov-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Tinley Manor,Fishing,M,Survived,N,Morning,"White shark, 3m"
201,11-Nov-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Mandurah",Body Boarding,M,Survived,N,08h40,Sandtiger shark
202,09-Nov-2018,2018.0,Unprovoked,BAHAMAS,Exumas,Compass Cay,Swimming,M,Survived,N,13h30,Nurse shark
203,07-Nov-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Ballina",Surfing,M,Survived,N,06h45,5' shark
204,05-Nov-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",Swimming,M,Fatal,Y,17h30,
205,03-Nov-2018,2018.0,Unprovoked,EGYPT,,Brothers' Island,Scuba diving,M,Survived,N,,Oceanic whitetip shark
206,24-Oct-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Guillotines surf break, Shire of Augusta Margaret River",Surfing,M,Survived,N,09h00,
