,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
5409,Reported 08-Jan-1927,1927.0,Unprovoked,USA,California,"Catalina Channel, Los Angeles County",Swimming,M,Survived,N,,
5410,03-Jan-1927,1927.0,Unprovoked,AUSTRALIA,New South Wales,"Grey’s Point, Port Hacking",Swimming,M,Fatal,Y,11h30,3.7 m [12'] shark
5411,1927,1927.0,Unprovoked,AUSTRALIA,New South Wales,15 miles up the Cataract River,Swimming,M,Fatal,Y,,
5412,1927,1927.0,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Survived,N,,
5413,Reported 02-Dec-1926,1926.0,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,M,Fatal,Y,,
5414,17-Nov-1926,1926.0,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,Survived,N,,
5415,Reported 29-Oct-1926,1926.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Roku Point,Jumped into the water,M,Fatal,Y,,
5416,23-Oct-1926,1926.0,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Bathing,M,Survived,N,Afternoon,"Grey nurse shark, 4'"
5417,23-Oct-1926,1926.0,Sea Disaster,BERMUDA,,18 miles southwest of Bermuda ,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,M,Survived,N,01h30,
5418,Reported 06-Sep-1926,1926.0,Unprovoked,PAPUA NEW GUINEA,,Near Port Moresby,Jumped out of canoe,M,Fatal,Y,,
5419,24-Aug-1926,1926.0,Unprovoked,USA,New Jersey,"Seaside, Ocean County",Swimming,M,Fatal,Y,,
5420,23-Jul-1926,1926.0,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Varazze,Swimming,M,Fatal,Y,11h00,Said to involve 6 to 7 m [20' to 23'] white shark
5421,12-Jul-1926,1926.0,Watercraft,USA,New Jersey,20 miles off Seabright,Fishing,M,No Injury,N,,"""whiptail shark"" (thresher shark?)"
5422,08-Jul-1926,1926.0,Unprovoked,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,M,Survived,N, ,1.5 m [5'] white shark or sevengill shark
5424,18-May-1926,1926.0,Unprovoked,USA,Hawaii,"Hale'iwa, O'ahu",Swimming,M,Fatal,Y,,"White shark, 3.8 m [12.5']  "
5425,22-Apr-1926,1926.0,Unprovoked,SOUTH ATLANTIC OCEAN,South of the Equator ,Steamship bound from Cape Town to Philadelphia,Fell overboard from SS Ripley Castle,M,Survived,N,Night,
5426,07-Apr-1926,1926.0,Unprovoked,USA,Hawaii,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,F,Survived,N,17h30,"According to Carlsmith, the shark's mouth was 3' wide"
5427,17-Mar-1926,1926.0,Unprovoked,AUSTRALIA,South Australia,"West Beach, Brighton",Swimming ,F,Fatal,Y,15h45,"White shark, 3.7 m [12']  "
5428,26-Jan-1926,1926.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hamburg,Swimming,M,Survived,N,,"""a blue shark"""
5429,Jan-1926,1926.0,Unprovoked,AUSTRALIA,Victoria,,,M,Survived,N,,
5430,Summer of 1926,1926.0,Unprovoked,MONACO,Bay of Monaco,,,M,Fatal,Y,,
5431,1926,1926.0,Provoked,NEW ZEALAND,Cook Islands,Rarotonga,Shark hoisted on board liner Tahiti,M,Survived,N,,
